time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,radius_km
121000,SAT_47,STARLINK-11420 [DTC],SAT,-1306327.57,5775649.16,3200553.21,357.85,-1,10.0.3.47,6731.133321335428
121000,SAT_48,STARLINK-32631,SAT,-2486716.91,5507156.8,3226375.94,476.59,-1,10.0.3.48,6849.966329587107
121000,SAT_49,STARLINK-11369 [DTC],SAT,-1999271.9,5036477.47,3993067.6,360.52,-1,10.0.3.49,6731.105577400861
121000,SAT_50,STARLINK-30993,SAT,-2384822.97,5144675.74,3987670.6,561.25,-1,10.0.3.50,6932.285761715867
122000,SAT_01,STARLINK-31405,SAT,-2215634.43,5326116.78,3706169.12,484.68,-1,10.0.3.1,6856.5476318363435
122000,SAT_02,STARLINK-31055,SAT,-1821457.79,5965917.08,2831313.94,475.8,-1,10.0.3.2,6850.271068580114
122000,SAT_03,STARLINK-11276 [DTC],SAT,-2472685.98,5688442.49,2624295.98,360.07,-1,10.0.3.3,6734.944937293112
122000,SAT_04,STARLINK-11707 [DTC],SAT,-2328523.04,5395702.17,3278732.84,356.42,-1,10.0.3.4,6729.465839964418
122000,SAT_05,STARLINK-35901,SAT,-2532937.32,5602208.33,2951527.97,445.86,-1,10.0.3.5,6819.972653718085
122000,SAT_06,STARLINK-5790,SAT,-2106808.73,5928890.64,2913431.56,559.52,-1,10.0.3.6,6933.864052654036
122000,SAT_07,STARLINK-3086,SAT,-1645302.84,5231740.88,4265895.87,578.04,-1,10.0.3.7,6948.09338196158
122000,SAT_08,STARLINK-5564,SAT,-2092843.35,5267228.02,3992995.59,562.06,-1,10.0.3.8,6933.087197206723
122000,SAT_09,STARLINK-32545,SAT,-1726880.14,5435462.24,3805439.71,484.69,-1,10.0.3.9,6856.218795140448
122000,SAT_10,STARLINK-34752,SAT,-2362496.79,5998228.36,2320414.36,475.93,-1,10.0.3.10,6851.6025383528195
122000,SAT_11,STARLINK-32596,SAT,-2232091.65,4882330.27,4251810.37,478.29,-1,10.0.3.11,6848.158396371796
122000,SAT_12,STARLINK-11641 [DTC],SAT,-1662746.92,5080753.6,4092639.63,362.43,-1,10.0.3.12,6732.643136609052
122000,SAT_13,STARLINK-5118,SAT,-2350591.06,5054121.4,4088270.26,541.92,-1,10.0.3.13,6912.552001691586
122000,SAT_14,STARLINK-31758,SAT,-2644739.0,5809989.84,2506860.67,482.94,-1,10.0.3.14,6858.205066766163
122000,SAT_15,STARLINK-35678,SAT,-1658677.07,6112118.63,2527096.22,443.57,-1,10.0.3.15,6818.754950493172
122000,SAT_16,STARLINK-6047,SAT,-2176009.73,5825353.73,3103190.67,575.93,-1,10.0.3.16,6949.788252821422
122000,SAT_17,STARLINK-4153,SAT,-1791428.94,5775693.63,3351946.69,540.91,-1,10.0.3.17,6914.00037368339
122000,SAT_18,STARLINK-35760,SAT,-1410526.82,5605609.54,3674067.67,477.21,-1,10.0.3.18,6849.176408052107
122000,SAT_19,STARLINK-3130,SAT,-2362315.11,5430903.29,3566406.52,540.93,-1,10.0.3.19,6913.356542965627
122000,SAT_20,STARLINK-3725,SAT,-1477472.22,5967372.48,3164581.84,540.62,-1,10.0.3.20,6914.263279481833
122000,SAT_21,STARLINK-35776,SAT,-2202425.29,4747216.95,4416392.23,478.5,-1,10.0.3.21,6847.719785271828
122000,SAT_22,STARLINK-30951,SAT,-2725332.91,5850405.79,2535213.35,558.85,-1,10.0.3.22,6934.118120425467
122000,SAT_23,STARLINK-31965,SAT,-2021140.17,4904828.4,4344622.65,487.45,-1,10.0.3.23,6856.9742008503445
122000,SAT_24,STARLINK-32673,SAT,-1617093.25,5760861.09,3350365.53,484.64,-1,10.0.3.24,6857.657053402694
122000,SAT_25,STARLINK-2109,SAT,-1627075.25,6347896.59,2231913.3,546.85,-1,10.0.3.25,6922.759707314206
122000,SAT_26,STARLINK-5799,SAT,-2922286.44,5409289.87,3204633.62,559.69,-1,10.0.3.26,6933.242500701011
122000,SAT_27,STARLINK-32078,SAT,-2834546.83,5423508.04,3077734.67,476.13,-1,10.0.3.27,6849.930356604196
122000,SAT_28,STARLINK-30767,SAT,-1915606.66,5010341.11,4390529.88,562.26,-1,10.0.3.28,6931.797713549149
122000,SAT_29,STARLINK-33674,SAT,-1342619.82,5948318.28,3136997.19,483.9,-1,10.0.3.29,6857.541083457459
122000,SAT_30,STARLINK-1337,SAT,-2860553.24,5747488.09,2387779.54,474.13,-1,10.0.3.30,6849.66242344898
122000,SAT_31,STARLINK-11102 [DTC],SAT,-2691797.11,4747607.85,3942565.36,361.93,-1,10.0.3.31,6732.709231554405
122000,SAT_32,STARLINK-32648,SAT,-1314582.26,5068284.89,4413128.42,478.49,-1,10.0.3.32,6847.72522053278
122000,SAT_33,STARLINK-33907,SAT,-3061755.88,5373305.19,2964368.09,484.02,-1,10.0.3.33,6858.151055977533
122000,SAT_34,STARLINK-3796,SAT,-1167476.69,5327704.03,4246536.28,542.3,-1,10.0.3.34,6912.344206586347
122000,SAT_35,STARLINK-33699,SAT,-2138127.49,6194794.26,2025152.24,482.91,-1,10.0.3.35,6859.176822505719
122000,SAT_36,STARLINK-34641,SAT,-1752496.43,6464857.72,1858183.54,574.55,-1,10.0.3.36,6951.149196020272
122000,SAT_37,STARLINK-31222,SAT,-2740689.55,4930650.41,3882380.04,476.79,-1,10.0.3.37,6848.033838270863
122000,SAT_38,STARLINK-31825,SAT,-2771407.29,5305448.95,3329641.63,476.39,-1,10.0.3.38,6849.452555668248
122000,SAT_39,STARLINK-1789,SAT,-996686.1,5246821.77,4041633.73,327.23,-1,10.0.3.39,6697.5611289149765
122000,SAT_40,STARLINK-30375,SAT,-2892486.43,5050481.38,3767157.7,561.11,-1,10.0.3.40,6932.915480094225
122000,SAT_41,STARLINK-6365,SAT,-1772447.2,6337140.29,2187652.97,558.46,-1,10.0.3.41,6934.460443976802
122000,SAT_42,STARLINK-30999,SAT,-1200406.47,6314989.14,2368681.88,475.03,-1,10.0.3.42,6850.599782513655
122000,SAT_43,STARLINK-35930,SAT,-2732203.87,5093583.74,3690295.03,485.76,-1,10.0.3.43,6857.682605084466
122000,SAT_44,STARLINK-3807,SAT,-2396451.47,4629528.64,4538133.21,542.7,-1,10.0.3.44,6911.596639587
122000,SAT_45,STARLINK-4147,SAT,-1063263.21,5713740.74,3743521.48,541.28,-1,10.0.3.45,6913.12628041009
122000,SAT_46,STARLINK-31746,SAT,-3166370.09,5462517.45,2677254.47,483.17,-1,10.0.3.46,6858.0381987516
122000,SAT_47,STARLINK-11420 [DTC],SAT,-1311698.28,5772340.1,3204312.59,357.85,-1,10.0.3.47,6731.127823942691
122000,SAT_48,STARLINK-32631,SAT,-2489952.39,5502790.54,3231308.61,476.6,-1,10.0.3.48,6849.957807508039
122000,SAT_49,STARLINK-11369 [DTC],SAT,-2006109.11,5035814.65,3990479.3,360.51,-1,10.0.3.49,6731.108972086851
122000,SAT_50,STARLINK-30993,SAT,-2391423.12,5143769.81,3984892.21,561.24,-1,10.0.3.50,6932.289544043631
123000,SAT_01,STARLINK-31405,SAT,-2220582.79,5321843.29,3709336.14,484.68,-1,10.0.3.1,6856.542753463462
123000,SAT_02,STARLINK-31055,SAT,-1826522.14,5966857.78,2826084.75,475.8,-1,10.0.3.2,6850.279549685492
123000,SAT_03,STARLINK-11276 [DTC],SAT,-2477774.89,5688717.49,2618916.34,360.06,-1,10.0.3.3,6734.953443229241
123000,SAT_04,STARLINK-11707 [DTC],SAT,-2334862.51,5395199.87,3275058.57,356.42,-1,10.0.3.4,6729.47050032779
123000,SAT_05,STARLINK-35901,SAT,-2538979.57,5601601.16,2947496.55,445.85,-1,10.0.3.5,6819.977179203214
123000,SAT_06,STARLINK-5790,SAT,-2112768.53,5928777.17,2909356.28,559.51,-1,10.0.3.6,6933.869306299839
123000,SAT_07,STARLINK-3086,SAT,-1646792.18,5226869.38,4271277.73,578.05,-1,10.0.3.7,6948.086171492457
123000,SAT_08,STARLINK-5564,SAT,-2098042.88,5263056.05,3995761.17,562.07,-1,10.0.3.8,6933.083746749354
123000,SAT_09,STARLINK-32545,SAT,-1732263.1,5431627.63,3808456.19,484.69,-1,10.0.3.9,6856.212708904993
123000,SAT_10,STARLINK-34752,SAT,-2367314.42,5998477.36,2314881.72,475.93,-1,10.0.3.10,6851.611896419898
123000,SAT_11,STARLINK-32596,SAT,-2235772.78,4877282.44,4255657.05,478.3,-1,10.0.3.11,6848.151637524975
123000,SAT_12,STARLINK-11641 [DTC],SAT,-1668547.68,5076935.75,4095012.27,362.44,-1,10.0.3.12,6732.640898006665
123000,SAT_13,STARLINK-5118,SAT,-2354064.76,5049177.39,4092365.97,541.92,-1,10.0.3.13,6912.544570733349
123000,SAT_14,STARLINK-31758,SAT,-2650484.28,5809271.42,2502468.43,482.93,-1,10.0.3.14,6858.210378291307
123000,SAT_15,STARLINK-35678,SAT,-1664502.89,6112350.85,2522717.2,443.56,-1,10.0.3.15,6818.7612405399495
123000,SAT_16,STARLINK-6047,SAT,-2179391.24,5827430.28,3096928.65,575.92,-1,10.0.3.16,6949.795458028994
123000,SAT_17,STARLINK-4153,SAT,-1796770.51,5776851.59,3347105.75,540.9,-1,10.0.3.17,6914.008639000551
123000,SAT_18,STARLINK-35760,SAT,-1414670.4,5601585.5,3678593.93,477.22,-1,10.0.3.18,6849.168252881459
123000,SAT_19,STARLINK-3130,SAT,-2365665.81,5426378.52,3571054.66,540.94,-1,10.0.3.19,6913.348678580306
123000,SAT_20,STARLINK-3725,SAT,-1482620.58,5968749.92,3159590.75,540.62,-1,10.0.3.20,6914.271696948646
123000,SAT_21,STARLINK-35776,SAT,-2206224.23,4742082.04,4420000.73,478.51,-1,10.0.3.21,6847.713040156559
123000,SAT_22,STARLINK-30951,SAT,-2731033.37,5849645.2,2530845.29,558.85,-1,10.0.3.22,6934.123601137478
123000,SAT_23,STARLINK-31965,SAT,-2026848.03,4900769.62,4346539.93,487.45,-1,10.0.3.23,6856.972011618119
123000,SAT_24,STARLINK-32673,SAT,-1622276.62,5757286.51,3353990.45,484.65,-1,10.0.3.24,6857.651298273908
123000,SAT_25,STARLINK-2109,SAT,-1631751.14,6348655.52,2226361.82,546.85,-1,10.0.3.25,6922.76864036864
123000,SAT_26,STARLINK-5799,SAT,-2928338.77,5408275.49,3200828.96,559.68,-1,10.0.3.26,6933.247273737938
123000,SAT_27,STARLINK-32078,SAT,-2839869.33,5423599.49,3072681.75,476.12,-1,10.0.3.27,6849.938859302759
123000,SAT_28,STARLINK-30767,SAT,-1921377.02,5006451.08,4392440.85,562.27,-1,10.0.3.28,6931.794766881516
123000,SAT_29,STARLINK-33674,SAT,-1348743.22,5948972.6,3133140.55,483.89,-1,10.0.3.29,6857.547154420525
123000,SAT_30,STARLINK-1337,SAT,-2865426.3,5747348.48,2382291.31,474.13,-1,10.0.3.30,6849.671110133064
123000,SAT_31,STARLINK-11102 [DTC],SAT,-2694903.31,4742349.01,3946756.95,361.94,-1,10.0.3.31,6732.701419584136
123000,SAT_32,STARLINK-32648,SAT,-1319238.05,5063916.0,4416742.04,478.5,-1,10.0.3.32,6847.718199190675
123000,SAT_33,STARLINK-33907,SAT,-3067692.83,5372143.09,2960343.29,484.02,-1,10.0.3.33,6858.155223769449
123000,SAT_34,STARLINK-3796,SAT,-1172067.51,5323578.47,4250432.55,542.31,-1,10.0.3.34,6912.337291853214
123000,SAT_35,STARLINK-33699,SAT,-2143666.48,6194417.02,2020462.07,482.91,-1,10.0.3.35,6859.181815016275
123000,SAT_36,STARLINK-34641,SAT,-1755114.57,6466113.12,1851360.09,574.54,-1,10.0.3.36,6951.1567539012685
123000,SAT_37,STARLINK-31222,SAT,-2743739.38,4925549.45,3886684.87,476.8,-1,10.0.3.37,6848.026171711452
123000,SAT_38,STARLINK-31825,SAT,-2776912.55,5305622.86,3324791.32,476.38,-1,10.0.3.38,6849.460895898993
123000,SAT_39,STARLINK-1789,SAT,-1001449.37,5242791.63,4045668.73,327.24,-1,10.0.3.39,6697.551820566323
